dominance,influance,steadiness,compliance,tipe_kepribadian
8,4,4,4,dominance
8,4,4,3,dominance
8,4,4,2,dominance
8,4,4,1,dominance
8,4,3,4,dominance
8,4,3,3,dominance
8,4,3,2,dominance
8,4,3,1,dominance
8,4,2,4,dominance
8,4,2,3,dominance
8,4,2,2,dominance
8,4,2,1,dominance
8,4,1,4,dominance
8,4,1,3,dominance
8,4,1,2,dominance
8,4,1,1,dominance
8,3,4,4,dominance
8,3,4,3,dominance
8,3,4,2,dominance
8,3,4,1,dominance
8,3,3,4,dominance
8,3,3,3,dominance
8,3,3,2,dominance
8,3,3,1,dominance
8,3,2,4,dominance
8,3,2,3,dominance
8,3,2,2,dominance
8,3,2,1,dominance
8,3,1,4,dominance
8,3,1,3,dominance
8,3,1,2,dominance
8,3,1,1,dominance
7,3,3,3,dominance
7,3,3,2,dominance
7,3,3,1,dominance
7,3,2,3,dominance
7,3,2,2,dominance
7,3,2,1,dominance
7,3,1,3,dominance
7,3,1,2,dominance
7,3,1,1,dominance
7,2,2,2,dominance
7,2,2,1,dominance
7,2,1,2,dominance
7,2,1,1,dominance
7,1,2,2,dominance
7,1,2,1,dominance
7,1,1,1,dominance
6,2,2,2,dominance
6,2,2,1,dominance
6,2,1,2,dominance
6,2,1,1,dominance
6,1,2,2,dominance
6,1,2,1,dominance
6,1,1,2,dominance
6,1,1,1,dominance
5,1,1,1,dominance
8,7,4,4,dominance influance
8,7,4,3,dominance influance
8,7,4,2,dominance influance
8,7,4,1,dominance influance
8,7,3,4,dominance influance
8,7,3,3,dominance influance
8,7,3,2,dominance influance
8,7,3,1,dominance influance
8,7,2,4,dominance influance
8,7,2,3,dominance influance
8,7,2,2,dominance influance
8,7,2,1,dominance influance
8,7,1,4,dominance influance
8,7,1,3,dominance influance
8,7,1,2,dominance influance
8,7,1,1,dominance influance
8,6,4,4,dominance influance
8,6,4,3,dominance influance
8,6,4,2,dominance influance
8,6,4,1,dominance influance
8,6,3,4,dominance influance
8,6,3,3,dominance influance
8,6,3,2,dominance influance
8,6,3,1,dominance influance
8,6,2,4,dominance influance
8,6,2,3,dominance influance
8,6,2,2,dominance influance
8,6,2,1,dominance influance
8,6,1,4,dominance influance
8,6,1,3,dominance influance
8,6,1,2,dominance influance
8,6,1,1,dominance influance
8,5,4,4,dominance influance
8,5,4,3,dominance influance
8,5,4,2,dominance influance
8,5,4,1,dominance influance
8,5,3,4,dominance influance
8,5,3,3,dominance influance
8,5,3,2,dominance influance
8,5,3,1,dominance influance
8,5,2,4,dominance influance
8,5,2,3,dominance influance
8,5,2,2,dominance influance
8,5,2,1,dominance influance
